gemeente,jaar_vkl,incident_count,Bevolking/Bevolkingssamenstelling op 1 januari/Totale bevolking (aantal),Aantal incidenten per 1000 inwoners
Brunssum,2009,117,29532,3.9618041446566434
Brunssum,2010,91,29448,3.0901928823689215
Brunssum,2011,94,29375,3.2
Brunssum,2012,75,29199,2.5685811157916367
Brunssum,2013,79,29081,2.716550324954438
Brunssum,2014,123,28958,4.247530906830582
Brunssum,2015,129,28656,4.501675041876047
Brunssum,2016,141,28448,4.956411698537683
Brunssum,2017,165,28358,5.818463925523662
Bunnik,2008,98,14258,6.873334268480853
Bunnik,2009,62,14407,4.303463594086208
Bunnik,2010,135,14459,9.336745279756553
Bunnik,2011,113,14437,7.827110895615433
Bunnik,2012,137,14451,9.480312781122414
Bunnik,2013,109,14563,7.484721554624734
Bunnik,2014,115,14626,7.862710242034733
Bunnik,2015,139,14662,9.480289182921839
Bunnik,2016,149,14773,10.085967643674271
Bunnik,2017,156,15156,10.292953285827394
Bunschoten,2008,53,19611,2.7025648870531844
Bunschoten,2009,55,19753,2.78438718169392
Bunschoten,2010,77,20000,3.85
Bunschoten,2011,75,20111,3.7293023718363085
Bunschoten,2012,70,20200,3.4653465346534653
Bunschoten,2013,71,20316,3.494782437487695
Bunschoten,2014,66,20492,3.2207690806168263
Bunschoten,2015,82,20647,3.9715212863854314
Bunschoten,2016,76,20823,3.649810305911732
Bunschoten,2017,68,21020,3.2350142721217887
Buren,2008,178,25727,6.918801259377308
Buren,2009,97,25667,3.779171699068843
Buren,2010,177,25887,6.837408737976591
Buren,2011,127,26013,4.882174297466651
Buren,2012,92,25949,3.5454160083240205
Buren,2013,102,25939,3.9323027102047114
Buren,2014,109,26019,4.189246319996926
Buren,2015,128,26117,4.90102232262511
Buren,2016,153,26202,5.839248912296771
Buren,2017,150,26348,5.693031729163504
Capelle aan den IJssel,2008,182,65022,2.7990526283411765
Capelle aan den IJssel,2009,139,65273,2.129517564689841
Capelle aan den IJssel,2010,244,65345,3.7340270869997703
Capelle aan den IJssel,2011,284,66104,4.296260438097543
Capelle aan den IJssel,2012,228,66122,3.448171561658752
Capelle aan den IJssel,2013,217,66024,3.2866836301950806
Capelle aan den IJssel,2014,250,66178,3.7776904711535555
Capelle aan den IJssel,2015,298,66478,4.482686001383917
Capelle aan den IJssel,2016,344,66486,5.174021598532022
Capelle aan den IJssel,2017,288,66421,4.335978079221933
Castricum,2008,166,34705,4.783172453536954
Castricum,2009,75,34739,2.158956792078068
Castricum,2010,165,34652,4.761629920350917
Castricum,2011,142,34593,4.104876709160813
Castricum,2012,133,34474,3.8579799269014328
Castricum,2013,122,34402,3.5463054473577116
Castricum,2014,138,34288,4.024731684554363
Castricum,2015,150,34361,4.365414277814964
Castricum,2016,166,34604,4.797133279389667
