code,name,regioFacet,level,url
0861,Veldhoven,tcm:106-353620-1024,4,/regioinformatie/gemeente/veldhoven/
0865,Vught,tcm:106-353621-1024,4,/regioinformatie/gemeente/vught/
0866,Waalre,tcm:106-353622-1024,4,/regioinformatie/gemeente/waalre/
0867,Waalwijk,tcm:106-353623-1024,4,/regioinformatie/gemeente/waalwijk/
0870,Werkendam,tcm:106-353624-1024,4,/regioinformatie/gemeente/werkendam/
0873,Woensdrecht,tcm:106-353625-1024,4,/regioinformatie/gemeente/woensdrecht/
0874,Woudrichem,tcm:106-353626-1024,4,/regioinformatie/gemeente/woudrichem/
0879,Zundert,tcm:106-353627-1024,4,/regioinformatie/gemeente/zundert/
0358,Aalsmeer,tcm:106-353629-1024,4,/regioinformatie/gemeente/aalsmeer/
0361,Alkmaar,tcm:106-353630-1024,4,/regioinformatie/gemeente/alkmaar/
0362,Amstelveen,tcm:106-353631-1024,4,/regioinformatie/gemeente/amstelveen/
0363,Amsterdam,tcm:106-353632-1024,4,/regioinformatie/gemeente/amsterdam/
0370,Beemster,tcm:106-353633-1024,4,/regioinformatie/gemeente/beemster/
0373,Bergen (NH),tcm:106-353634-1024,4,/regioinformatie/gemeente/bergen-nh/
0375,Beverwijk,tcm:106-353635-1024,4,/regioinformatie/gemeente/beverwijk/
0376,Blaricum,tcm:106-353636-1024,4,/regioinformatie/gemeente/blaricum/
0377,Bloemendaal,tcm:106-353637-1024,4,/regioinformatie/gemeente/bloemendaal/
0381,Bussum,tcm:106-353638-1024,4,/regioinformatie/gemeente/bussum/
0383,Castricum,tcm:106-353639-1024,4,/regioinformatie/gemeente/castricum/
0400,Den Helder,tcm:106-353640-1024,4,/regioinformatie/gemeente/den-helder/
0384,Diemen,tcm:106-353641-1024,4,/regioinformatie/gemeente/diemen/
0498,Drechterland,tcm:106-353642-1024,4,/regioinformatie/gemeente/drechterland/
0385,Edam-Volendam,tcm:106-353643-1024,4,/regioinformatie/gemeente/edam-volendam/
0388,Enkhuizen,tcm:106-353644-1024,4,/regioinformatie/gemeente/enkhuizen/
0392,Haarlem,tcm:106-353646-1024,4,/regioinformatie/gemeente/haarlem/
0393,Haarlemmerliede en Spaarnwoude,tcm:106-353647-1024,4,/regioinformatie/gemeente/haarlemmerliede-en-spaarnwoude/
0394,Haarlemmermeer,tcm:106-353648-1024,4,/regioinformatie/gemeente/haarlemmermeer/
0396,Heemskerk,tcm:106-353649-1024,4,/regioinformatie/gemeente/heemskerk/
0397,Heemstede,tcm:106-353650-1024,4,/regioinformatie/gemeente/heemstede/
0398,Heerhugowaard,tcm:106-353651-1024,4,/regioinformatie/gemeente/heerhugowaard/
0399,Heiloo,tcm:106-353652-1024,4,/regioinformatie/gemeente/heiloo/
0402,Hilversum,tcm:106-353653-1024,4,/regioinformatie/gemeente/hilversum/
1911,Hollands Kroon,tcm:106-353654-1024,4,/regioinformatie/gemeente/hollands-kroon/
0405,Hoorn,tcm:106-353655-1024,4,/regioinformatie/gemeente/hoorn/
0406,Huizen,tcm:106-353656-1024,4,/regioinformatie/gemeente/huizen/
1598,Koggenland,tcm:106-353657-1024,4,/regioinformatie/gemeente/koggenland/
0415,Landsmeer,tcm:106-353658-1024,4,/regioinformatie/gemeente/landsmeer/
0416,Langedijk,tcm:106-353659-1024,4,/regioinformatie/gemeente/langedijk/
0417,Laren,tcm:106-353660-1024,4,/regioinformatie/gemeente/laren/
0420,Medemblik,tcm:106-353661-1024,4,/regioinformatie/gemeente/medemblik/
0424,Muiden,tcm:106-353662-1024,4,/regioinformatie/gemeente/muiden/
